Barista,Gurgaon,650,Yes,2,3.2
Cafe Coffee Day,Gurgaon,450,No,1,2.6
Domino's Pizza,Gurgaon,700,No,2,2.8
Italiano,Gurgaon,1500,No,3,3
McDonald's,Gurgaon,500,No,2,2.6
Parantha Gurus,Gurgaon,500,No,2,3.3
Pizza Hut Delivery,Gurgaon,800,Yes,2,2.8
Sibang Bakery,Gurgaon,300,No,1,3.3
Sonya Bakery Cafe,Gurgaon,350,No,1,3.3
Subway,Gurgaon,500,No,2,3.1
Viva Hyderabad,Gurgaon,600,Yes,2,2.5
7 Barrel Brew Pub,Gurgaon,2000,Yes,4,3.9
Wai Yu Mun Ching,Gurgaon,800,Yes,2,3.5
Baskin Robbins,Gurgaon,300,No,1,0
KFC,Gurgaon,500,Yes,2,2.2
Burmese Kitchen Plus,Gurgaon,800,No,2,3.4
Drinks Come True,Gurgaon,150,No,1,3.1
Eat All Nite,Gurgaon,800,Yes,2,3.2
Frontier,Gurgaon,200,No,1,2.9
GenY Cuisines,Gurgaon,250,No,1,3
K Raga's,Gurgaon,600,No,2,2.9
Kangri,Gurgaon,750,No,2,3.4
Makhmali Kebabs,Gurgaon,550,No,2,3.2
Masala Ville,Gurgaon,650,No,2,3.2
Night Food Xprs,Gurgaon,650,No,2,3.1
Roti Boti,Gurgaon,700,No,2,2.9
Sama Chicken Biryani,Gurgaon,200,No,1,2.9
Subway,Gurgaon,500,Yes,2,2.8
The Rolling Pin Bakery,Gurgaon,500,No,2,3.1
Weird Time Food,Gurgaon,600,Yes,2,3.1
Twigly,Gurgaon,500,Yes,2,4.6
Asian Haus,Gurgaon,1500,Yes,3,3.9
Beyond Breads,Gurgaon,200,Yes,1,3.8
Biryani By Kilo,Gurgaon,700,Yes,2,3.9
Captain Grub,Gurgaon,1000,Yes,3,3.8
Pita Pit,Gurgaon,600,Yes,2,3.5
Rawleaf,Gurgaon,700,Yes,2,3.6
Sushi Haus,Gurgaon,1300,Yes,3,3.8
Eggzellent,Gurgaon,250,Yes,1,0
High On Tea,Gurgaon,400,No,1,0
Sona Bridge Hotel,Gurgaon,400,No,1,0
Yo! Dimsum,Gurgaon,200,No,1,0
Angrezee Choupal,Gurgaon,500,Yes,2,3.8
Ashoka Snacks Corner,Gurgaon,400,No,1,0
Chefoncalls,Gurgaon,300,No,1,0
Corp Kitchen,Gurgaon,600,No,2,0
Good Food,Gurgaon,200,No,1,0
Mahek By Greenz,Gurgaon,400,No,1,0
Pao King,Gurgaon,200,No,1,0
Prabhat Fast Food Corner,Gurgaon,200,No,1,0
Shama Chicken Corner,Gurgaon,300,No,1,0
Unique Food Hut,Gurgaon,600,No,2,0
A 1 - Snacks and food corner,Gurgaon,350,Yes,1,2.5
Anandum,Gurgaon,400,No,1,3.2
Apni Rasoi,Gurgaon,400,Yes,1,3
Banke Bihari Bhojanalay,Gurgaon,200,No,1,2.6
Biryani 365,Gurgaon,700,Yes,2,3.2
Bro's Kitchenette,Gurgaon,350,No,1,3.3
Cafe Coffee Day,Gurgaon,450,No,1,3.1
Cafe Coffee Day,Gurgaon,450,No,1,3.2
Cafe Du Rendezvous,Gurgaon,400,Yes,1,3.2
Cake 24x7,Gurgaon,600,Yes,2,3.3
Cake On Wheels,Gurgaon,200,Yes,1,2.8
Cake Point,Gurgaon,600,Yes,2,2.9
Cake Point,Gurgaon,600,Yes,2,3
Cakes Degree,Gurgaon,300,Yes,1,3.4
Chateau Garlic,Gurgaon,700,No,2,3
Chennai Express,Gurgaon,300,No,1,3.2
Crust N Cakes,Gurgaon,550,Yes,2,3.4
Dabba Meat,Gurgaon,550,Yes,2,3.4
Deepak Rasoi,Gurgaon,450,No,1,2.7
Foodaucity - Bum Bum Bholey Ke Chole Bhature,Gurgaon,300,No,1,3.3
Foodies Nation,Gurgaon,300,No,1,3.4
Goli Vada Pav No. 1,Gurgaon,150,Yes,1,3.1
Grandma's Kitchen,Gurgaon,400,Yes,1,2.5
Gurgaon Hights,Gurgaon,400,Yes,1,2.5
Idliss,Gurgaon,400,Yes,1,3.4
Indian Home Food,Gurgaon,600,Yes,2,2.6
Jetha Lal Ka Dhabha,Gurgaon,400,Yes,1,3.1
Kusum Rolls,Gurgaon,350,Yes,1,3.1
Megha Vaishno Dhaba,Gurgaon,300,No,1,3.1
Nikhil Food Point,Gurgaon,200,No,1,2.7
Plan B,Gurgaon,1000,No,3,3.4
Punjabi Zaika,Gurgaon,500,Yes,2,3.2
Rasoi,Gurgaon,500,No,2,3
Roll's Royce,Gurgaon,200,Yes,1,3.2
Shree Bikaner Misthan Bhandar,Gurgaon,100,Yes,1,3.1
Smokey Pan,Gurgaon,300,No,1,3.2
Surprise O Meal,Gurgaon,550,Yes,2,3.4
Tandoor on The Way,Gurgaon,300,Yes,1,3.2
Tawa N Tandoor,Gurgaon,600,Yes,2,2.7
The Paradise Biryani,Gurgaon,700,Yes,2,2.9
The Royal,Gurgaon,550,No,2,3.3
Theka Desi Khaana,Gurgaon,350,Yes,1,3
Tobasco Kitchen,Gurgaon,500,Yes,2,3.2
Tpot,Gurgaon,400,No,1,3.2
Uncle's Cafe,Gurgaon,350,No,1,2.7
Welcome Cafeteria,Gurgaon,600,Yes,2,3.3
Yo Yo China Town,Gurgaon,400,Yes,1,2.8
Caterspoint,Gurgaon,500,Yes,2,4.9
Bake-a-boo,Gurgaon,200,Yes,1,3.7
Burger Hut,Gurgaon,300,Yes,1,3.6
China Gatherings,Gurgaon,550,Yes,2,3.5
Crazy Bhukkhad,Gurgaon,400,Yes,1,3.9
Deez Biryani & Kebabs,Gurgaon,800,Yes,2,3.7
Fomads,Gurgaon,300,No,1,3.6
Happy Beings,Gurgaon,500,Yes,2,3.5
InstaDozza,Gurgaon,250,Yes,1,3.5
Mom's Kitchen,Gurgaon,300,Yes,1,3.5
The Baker's Bar  ... Bakery & Cafe,Gurgaon,400,No,1,3.6
Veg Ex,Gurgaon,500,Yes,2,3.8
Volt - By Plan B,Gurgaon,1000,No,3,3.5
ZASTY,Gurgaon,500,Yes,2,3.5
Aahar,Gurgaon,400,Yes,1,2
Chicken Bytes,Gurgaon,500,Yes,2,2.1
Flying Cakes,Gurgaon,350,Yes,1,2.2
